,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,siren,in pipe ?,web,ban,linke
26,26,26,26,SOLUCIA PROTECTION JURIDIQUE,481997708,Not in Pipe,https://soluciapj.fr/,False,https://fr.linkedin.com/company/solucia-protection-juridique
27,27,27,27,GIE AFER,809128028,Not in Pipe,https://www.afer.fr/afer/partenaires/gie-afer/,False,https://fr.linkedin.com/company/gie-afer
28,28,28,28,FIGEAS SA,790580146,Not in Pipe,https://fr.kompass.com/c/figeas-sa/ch161290/,True,https://fr.linkedin.com/company/figeas-sa
29,29,29,29,IDEMIA,340709534,In Pipe,https://www.idemia.com/fr,False,https://fr.linkedin.com/company/idemiagroup
30,30,30,30,ELEX,882638117,Not in Pipe,https://www.elex.fr/,False,https://fr.linkedin.com/company/elex
31,31,31,31,MUTUELLE ENTRAIN,775558778,Not in Pipe,https://www.mutuelle-entrain.fr/,False,https://fr.linkedin.com/company/mutuelle-entrain
32,32,32,32,UNMI - UNION NATIONALE MUTUALISTE INTERPROFESSIONNELLE,400423364,Not in Pipe,http://www.unmi.eu/,False,https://www.linkedin.com/company/unmi---union-nationale-mutualiste-interprofessionnelle
33,33,33,33,MONCEAU ASSURANCES,555850411,Not in Pipe,https://www.monceauassurances.com/,False,https://fr.linkedin.com/company/monceau-assurances
34,34,34,34,APICIL,789861143,Not in Pipe,https://mon.apicil.com/,False,https://www.linkedin.com/company/apicil
35,35,35,35,MALAKOFF MEDERIC HUMANIS,853995249,Not in Pipe,http://www.malakoffmederic.com/index.jsp/particuliers/retraite-epargne/index.jsp,False,https://fr.linkedin.com/company/mmhumanis
36,36,36,36,EOVI MCD MUTUELLE,317442176,Not in Pipe,erreur,False,https://fr.linkedin.com/company/eovi-mcd
37,37,37,37,AGPM,810204552,Not in Pipe,http://www.agpm.fr/,False,https://fr.linkedin.com/company/agpm
38,38,38,38,COFACE,851127142,Not in Pipe,https://www.coface.fr/,False,https://www.linkedin.com/company/coface
39,39,39,39,MEDICIS,849040720,Not in Pipe,https://medicys.fr/,False,https://fr.linkedin.com/company/medicis
40,40,40,40,ACE EUROPE,063503072,Not in Pipe,https://www.europages.fr/ACE-EUROPEAN-GROUP-LIMITED/BEL002437-00101.html,False,https://fr.linkedin.com/company/ace-europe
41,41,41,41,VERLINGUE,342229499,Not in Pipe,https://www.verlingue.fr/,False,https://fr.linkedin.com/company/verlingue
42,42,42,42,CREDIT AGRICOLE ASSURANCES,451751564,Not in Pipe,https://www.credit-agricole.fr/,False,https://fr.linkedin.com/company/credit-agricole-assurances
43,43,43,43,RELYENS,812594489,Not in Pipe,https://www.relyens.eu/fr,False,https://fr.linkedin.com/company/relyens
44,44,44,44,GROUPE MACIF,334062288,Not in Pipe,https://www.macif.fr/assurance/le-groupe-macif,False,https://www.linkedin.com/company/groupemacif
45,45,45,45,GENERALI,510112352,Not in Pipe,https://www.generali.fr/,False,https://fr.linkedin.com/company/generali
46,46,46,46,PREVOIR,390549715,Not in Pipe,https://www.prevoir.com/,False,https://www.linkedin.com/company/prevoir
47,47,47,47,GROUPE VYV,532661832,In Pipe,https://www.groupe-vyv.fr/,False,https://fr.linkedin.com/company/groupe-vyv
48,48,48,48,BS COURTAGE ASSURANCE,817847650,Not in Pipe,http://www.bs-conseil-courtage.com/,False,https://ch.linkedin.com/company/bs-&-associes-sa
49,49,49,49,MUTUELLE VIASANTE,777927120,Not in Pipe,https://www.mutuelle-viasante.fr/recrutement/s00lj2,False,https://fr.linkedin.com/company/mutuelle-viasante
50,50,50,50,GROUPE VYV,532661832,In Pipe,https://www.groupe-vyv.fr/,False,https://fr.linkedin.com/company/groupe-vyv
51,51,51,51,SOCIETE GENERALE ASSURANCES,555850411,Not in Pipe,https://www.assurances.societegenerale.com/fr/,False,https://fr.linkedin.com/company/societe-generale-assurances
52,52,52,52,METLIFE,722092368,Not in Pipe,https://www.metlife.fr/assurance-prevoyance/,False,https://fr.linkedin.com/company/metlife
53,53,53,53,COVEA,843198433,Not in Pipe,https://www.covea.eu/fr/actualites/nos-articles/covea-finance-devoile-son-nouveau-site-internet,False,https://www.linkedin.com/company/groupecovea
54,54,54,54,GALIAN,852299031,Not in Pipe,https://www.galian.fr/,False,https://fr.linkedin.com/company/galian
55,55,55,55,CELSIDE INSURANCE,847926516,Not in Pipe,https://www.celside.com/fr-be/,False,https://fr.linkedin.com/company/celside-insurance
56,56,56,56,MALAKOFF MEDERIC HUMANIS,853995249,Not in Pipe,http://www.malakoffmederic.com/index.jsp/particuliers/retraite-epargne/index.jsp,False,https://fr.linkedin.com/company/mmhumanis
